YEAR,CHAMPION,COACH,POINTS,RUNNER-UP,POINTS,HOST OR SITE
2023,Oklahoma State,Dave Smith,49,Northern Arizona,71,"Charlottesville, Va."
2022,Northern Arizona,Michael Smith,83,Oklahoma State,83,"Stillwater, Okla."
2021,Northern Arizona,Michael Smith,92,Iowa State,137,"Tallahassee, Fla."
2020,Northern Arizona,Michael Smith,60,Notre Dame,87,"Stillwater, Okla."
2019,BYU,Ed Eyestone,109,Northern Arizona,163,"Terre Haute, Ind."
2018,Northern Arizona,Michael Smith,83,BYU,116,"Madison, Wisc."
2017,Northern Arizona,Michael Smith,74,Portland,127,"Louisville, Ky."
2016,Northern Arizona,Eric Heins,125,Stanford,158,"Terre Haute, Ind."
2015,Syracuse,Chris Fox,82,Colorado,91,"Louisville, Ky."
2014,Colorado,Mark Wetmore,65,Stanford,98,"Terre Haute, Ind."
2013,Colorado,Mark Wetmore,149,Northern Arizona,169,Indiana State
2012,Oklahoma State,Dave Smith,72,Wisconsin,135,"Louisville, Ky."
2011,Wisconsin,Mick Byrne,97,Oklahoma State,139,Indiana State
2010,Oklahoma State,Dave Smith,73,Florida State,193,Indiana State
2009,Oklahoma State,Dave Smith,127,Oregon,143,Indiana State
2008,Oregon,Vin Lananna,93,Iona,147,Indiana State
2007,Oregon,Vin Lananna,85,Iona,113,Indiana State
2006,Colorado,Mark Wetmore,94,Wisconsin,142,Indiana State
2005,Wisconsin,Jerry Schumacher,37,Arkansas,105,Indiana State
2004,Colorado,Mark Wetmore,90,Wisconsin,94,Indiana State
2003,Stanford,Andrew Gerard,24,Wisconsin,174,UNI
2002,Stanford,Vin Lananna,47,Wisconsin,107,Indiana State
2001,Colorado,Mark Wetmore,90,Stanford,91,Furman
2000,Arkansas,John Mcdonnell,83,Colorado,94,Iowa State
1999,Arkansas,John Mcdonnell,58,Wisconsin,185,Indiana
1998,Arkansas,John Mcdonnell,97,Stanford,114,Kansas
1997,Stanford,Vin Lananna,53,Arkansas,56,Furman
1996,Stanford,Vin Lananna,46,Arkansas,74,Arizona
1995,Arkansas,John Mcdonnell,100,Northern Arizona,142,Iowa State
1994,Iowa State,Bill Bergan,65,Colorado,88,Arkansas
1993,Arkansas,John Mcdonnell,31,BYU,153,Lehigh
1992,Arkansas,John Mcdonnell,46,Wisconsin,87,Indiana
1991,Arkansas,John Mcdonnell,52,Iowa State,114,Arizona
1990,Arkansas,John Mcdonnell,68,Iowa State,96,Tennessee
1989,Iowa State,Bill Bergan,54,Oregon,72,Navy
1988,Wisconsin,Martin Smith,105,Northern Arizona,160,Iowa State
1987,Arkansas,John Mcdonnell,87,Dartmouth,119,Virginia
1986,Arkansas,John Mcdonnell,69,Dartmouth,141,Arizona
1985,Wisconsin,Martin Smith,67,Arkansas,104,Marquette
1984,Arkansas,John Mcdonnell,101,Arizona,111,Penn State
1983,UTEP,Larry Heiderbrecht,108,Wisconsin,164,Lehigh
1982,Wisconsin,Dan McClimon,59,Providence,138,Indiana
1981,UTEP,Ted Banks,17,Providence,109,Wichita State
1980,UTEP,Ted Banks,58,Arkansas,152,Wichita State
1979,UTEP,Ted Banks,86,Oregon,93,Lehigh
1978,UTEP,Ted Banks,56,Oregon,72,Wisconsin
1977,Oregon,Bill Dellinger,100,UTEP,105,Washington state
1976,UTEP,Ted Banks,62,Oregon,117,North Texas
1975,UTEP,Ted Banks,88,Washington State,92,Penn State
1974,Oregon,Bill Dellinger,77,Western Kentucky,110,Indiana
1973,Oregon,Bill Dellinger,89,UTEP,157,Washington state
1972,Tennessee,Stan Huntsman,134,East Tennessee State,148,Houston
1971,Oregon,Bill Dellinger,83,Washington State,122,Tennessee
1970,Villanova,James Elliott,85,Oregon,86,William & Mary
1969,UTEP,Wayne Vandenburg,74,Villanova,88,Manhattan
1968,Villanova,James Elliott,78,Stanford,100,Manhattan
1967,Villanova,James Elliott,91,Air Force,96,Wyoming
1966,Villanova,James Elliott,79,Kansas State,155,Kansas
1965,Western Michigan,George Dales,81,Northwestern,114,Kansas
1964,Western Michigan,George Dales,86,Oregon,116,Michigan State
1963,San Jose State,Dean Miller,53,Oregon,68,Michigan State
1962,San Jose State,Dean Miller,58,Villanova,69,Michigan State
1961,Oregon State,Sam Bell,68,San Jose State,82,Michigan State
1960,Houston,John Morriss,54,Michigan State,80,Michigan State
1959,Michigan State,Francis Dittrich,44,Houston,120,Michigan State
1958,Michigan State,Francis Dittrich,79,Western Michigan,104,Michigan State
1957,Notre dame,Alex Wilson,121,Michigan State,127,Michigan State
1956,Michigan State,Karl Schlademan,28,Kansas,88,Michigan State
1955,Michigan State,Karl Schlademan,46,Kansas,68,Michigan State
1954,Oklahoma State,Ralph Higgins,61,Syracuse,118,Michigan State
1953,Kansas,Bill Easton,70,Indiana,82,Michigan State
1952,Michigan State,Karl Schlademan,65,Indiana,68,Michigan State
1951,Syracuse,Robert Grieve,80,Kansas,118,Michigan State
1950,Penn State,Charles Werner,53,Michigan State,55,Michigan State
1949,Michigan State,Karl Schlademan,59,Syracuse,81,Michigan State
1948,Michigan State,Karl Schlademan,41,Wisconsin,69,Michigan State
1947,Penn State,Charles Werner,60,Syracuse,72,Michigan State
1946,Drake,Bill Easton,42,New York University,98,Michigan State
1945,Drake,Bill Easton,50,Notre Dame,65,Michigan State
1944,Drake,Bill Easton,25,Notre Dame,64,Michigan State
1942,Indiana,Earle Hayes,57,Penn State,57,Michigan State
1941,Rhode Island,Fred Tootell,83,Penn State,110,Michigan State
1940,Indiana,Earle Hayes,65,Eastern Michigan,68,Michigan State
1939,Michigan State,Lauren Brown,54,Wisconsin,57,Michigan State
1938,Indiana,Earle Hayes,51,Notre Dame,61,Michigan State
